Date,Height (cm),Shoot Number
07/11/2012,1.24226638118851,5
08/11/2012,2.901188089621847,3
09/11/2012,0.6013474120940268,11
10/11/2012,0.5325085693816942,6
11/11/2012,0.12547331203864032,8
12/11/2012,0.33502122189797046,4
01/11/2013,3.1493728427368257,8
02/11/2013,2.353717397312175,6
03/11/2013,0.7480246452304473,8
04/11/2013,0.6322681427800659,6
05/11/2013,0.3623292780508671,2
06/11/2013,1.0771343637204789,8
07/11/2013,1.5781841407090211,7
08/11/2013,0.6900277547775024,5
09/11/2013,0.9607006570938295,4
10/11/2013,3.423627221790334,7
11/11/2013,0.1918559981255769,11
12/11/2013,0.7212442636821953,5
01/11/2014,0.19204702622745293,10
02/11/2014,1.3829475399224556,4
03/11/2014,2.3430367371694847,7
04/11/2014,1.1755110190667462,7
05/11/2014,2.149777881359043,8
06/11/2014,1.5454681751512576,3
07/11/2014,0.8483103636135112,3
08/11/2014,0.657151638566999,4
09/11/2014,1.721927632728226,4
10/11/2014,2.4611782207081325,7
11/11/2014,0.8796604741358661,5
12/11/2014,0.34309858580795494,9
01/11/2015,2.049008114181717,4
02/11/2015,0.4079643883582892,7
03/11/2015,0.9610473435547436,2
04/11/2015,2.154496845306534,1
05/11/2015,0.1289176364776907,4
06/11/2015,0.6491623911036508,3
07/11/2015,0.4460076860576789,9
08/11/2015,1.1968790678612768,7
09/11/2015,0.6427017187762886,13
10/11/2015,2.2381943661911827,6
11/11/2015,1.039426773856149,4
12/11/2015,0.4057798838826141,7
01/11/2016,0.28322784451055283,5
02/11/2016,0.21634661050704945,3
03/11/2016,0.3640718478988898,7
04/11/2016,1.5095589611296152,4
05/11/2016,0.5951320885479635,3
06/11/2016,7.4727690891824405,1
07/11/2016,0.8717359256500465,7
08/11/2016,0.6347944656378579,6
09/11/2016,0.9639756633869041,7
10/11/2016,0.29049718745606246,2
11/11/2016,0.26117437098302193,9
12/11/2016,0.7578341650582873,4
01/11/2017,2.1520657500152107,5
02/11/2017,2.174507829639485,9
03/11/2017,1.4113843884183754,3
04/11/2017,1.402638933631007,3
05/11/2017,0.5051840701525977,4
06/11/2017,2.5173617837212934,7
07/11/2017,1.2111228194115518,2
08/11/2017,2.2717482427570492,2
09/11/2017,9.059817872185024,7
10/11/2017,1.037752799889254,6
11/11/2017,9.12008037448097,3
12/11/2017,2.1216116670536334,11
01/11/2018,1.7145983110377667,7
02/11/2018,2.949168419868958,6
03/11/2018,2.830846293339089,3
04/11/2018,1.2517539756587448,5
05/11/2018,2.243788623208994,5
06/11/2018,1.0585964529642684,5
07/11/2018,2.2508258628528126,8
08/11/2018,0.7615244556118368,4
09/11/2018,3.312582933765476,2
10/11/2018,0.4738117702035695,7
11/11/2018,1.079006325095458,5
12/11/2018,2.132627239620835,4
01/11/2019,1.1039862927400086,5
02/11/2019,5.089652706572584,6
03/11/2019,0.3354801945402829,6
04/11/2019,1.3517989422270467,10
05/11/2019,1.070199255113782,7
06/11/2019,0.7658039310542886,5
07/11/2019,0.402901268346705,13
08/11/2019,10.204260487188305,2
09/11/2019,0.6645071229568502,3
10/11/2019,0.9090190252195897,5
11/11/2019,0.6289053144626418,4
12/11/2019,1.545385924421595,3
01/11/2020,1.9206475886034455,6
02/11/2020,1.090807392146053,4
03/11/2020,0.892688855567261,9
04/11/2020,0.6798336015325767,5
05/11/2020,0.5390912972137405,10
06/11/2020,2.966319114934253,10
07/11/2020,8.272027825916107,3
08/11/2020,1.383578636368746,2
09/11/2020,2.4765436286794276,3
10/11/2020,1.2395809645310896,6
11/11/2020,1.6152174412944345,2
12/11/2020,1.0092880999305638,7
01/11/2021,1.2801714562464113,4
02/11/2021,1.3014745624833757,2
03/11/2021,0.44403235397011825,3
04/11/2021,2.1294298028434566,2
05/11/2021,0.48590810568101145,3
06/11/2021,1.273996644168439,8
07/11/2021,0.2383160479778921,6
08/11/2021,4.560818644419515,7
09/11/2021,0.41068894896869257,7
10/11/2021,0.39892188892077574,4
11/11/2021,3.227111929821226,1
12/11/2021,2.8351651827907984,7
01/11/2022,3.7045013417452153,1
02/11/2022,1.9157231864224098,4
03/11/2022,5.0429293691745025,6
04/11/2022,1.9824392144359468,3
05/11/2022,1.176370493273422,5
06/11/2022,0.6402729610614709,6
07/11/2022,0.3724731172695145,8
